"locusTag","RSlocusTag","feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","feature_interval_length","product_length","attributes","gene_name"
"Bcen2424_0559","BCEN2424_RS02790","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",629359,630462,"+","WP_011544501.1","WP_011544501.1",NA,"undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase","murG",NA,1104,367,"old_locus_tag=Bcen2424_0559","Bcen2424_0559-murG-undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase"
"Bcen2424_0560","BCEN2424_RS02795","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",630459,631856,"+","WP_011544502.1","WP_011544502.1",NA,"UDP-N-acetylmuramate--L-alanine ligase","",NA,1398,465,"old_locus_tag=Bcen2424_0560","Bcen2424_0560--UDP-N-acetylmuramate--L-alanine ligase"
"Bcen2424_0561","BCEN2424_RS02800","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",631858,632799,"+","WP_011544503.1","WP_011544503.1",NA,"D-alanine--D-alanine ligase","",NA,942,313,"old_locus_tag=Bcen2424_0561","Bcen2424_0561--D-alanine--D-alanine ligase"
"Bcen2424_0562","BCEN2424_RS02805","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",632819,633571,"+","WP_006477014.1","WP_006477014.1",NA,"cell division protein FtsQ/DivIB","",NA,753,250,"old_locus_tag=Bcen2424_0562","Bcen2424_0562--cell division protein FtsQ/DivIB"
"Bcen2424_0563","BCEN2424_RS02810","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",633598,634830,"+","WP_006487138.1","WP_006487138.1",NA,"cell division protein FtsA","ftsA",NA,1233,410,"old_locus_tag=Bcen2424_0563","Bcen2424_0563-ftsA-cell division protein FtsA"
"Bcen2424_0564","BCEN2424_RS02815","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",634943,636139,"+","WP_006477012.1","WP_006477012.1",NA,"cell division protein FtsZ","ftsZ",NA,1197,398,"old_locus_tag=Bcen2424_0564","Bcen2424_0564-ftsZ-cell division protein FtsZ"
"Bcen2424_0565","BCEN2424_RS02820","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",636329,636835,"+","WP_011544504.1","WP_011544504.1",NA,"peroxiredoxin","",NA,507,168,"old_locus_tag=Bcen2424_0565","Bcen2424_0565--peroxiredoxin"
"Bcen2424_0566","BCEN2424_RS02825","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",637076,637993,"+","WP_011544505.1","WP_011544505.1",NA,"UDP-3-O-acyl-N-acetylglucosamine deacetylase","",NA,918,305,"old_locus_tag=Bcen2424_0566","Bcen2424_0566--UDP-3-O-acyl-N-acetylglucosamine deacetylase"
"Bcen2424_0567","BCEN2424_RS02830","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",638112,639137,"+","WP_011549396.1","WP_011549396.1",NA,"IS110 family transposase","",NA,1026,341,"old_locus_tag=Bcen2424_0567","Bcen2424_0567--IS110 family transposase"
"Bcen2424_0568","BCEN2424_RS02835","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",639433,639909,"-","WP_006487136.1","WP_006487136.1",NA,"DUF721 domain-containing protein","",NA,477,158,"old_locus_tag=Bcen2424_0568","Bcen2424_0568--DUF721 domain-containing protein"
"Bcen2424_0569","BCEN2424_RS02840","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",640166,642964,"+","WP_011694136.1","WP_011694136.1",NA,"preprotein translocase subunit SecA","secA",NA,2799,932,"old_locus_tag=Bcen2424_0569","Bcen2424_0569-secA-preprotein translocase subunit SecA"
"Bcen2424_0570","BCEN2424_RS02845","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",643109,644350,"+","WP_011544507.1","WP_011544507.1",NA,"bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ","argJ",NA,1242,413,"old_locus_tag=Bcen2424_0570","Bcen2424_0570-argJ-bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ"
"Bcen2424_0571","BCEN2424_RS02850","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",644370,645239,"+","WP_011544508.1","WP_011544508.1",NA,"ATP-binding protein","",NA,870,289,"old_locus_tag=Bcen2424_0571","Bcen2424_0571--ATP-binding protein"
"Bcen2424_0572","BCEN2424_RS02855","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",645236,645679,"+","WP_006487137.1","WP_006487137.1",NA,"NUDIX domain-containing protein","",NA,444,147,"old_locus_tag=Bcen2424_0572","Bcen2424_0572--NUDIX domain-containing protein"
"Bcen2424_0573","BCEN2424_RS34660","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",645740,645940,"-","WP_011544509.1","WP_011544509.1",NA,"DNA gyrase inhibitor YacG","",NA,201,66,"old_locus_tag=Bcen2424_0573","Bcen2424_0573--DNA gyrase inhibitor YacG"
"Bcen2424_0574","BCEN2424_RS02860","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",645969,646724,"-","WP_011544510.1","WP_011544510.1",NA,"cell division protein ZapD","zapD",NA,756,251,"old_locus_tag=Bcen2424_0574","Bcen2424_0574-zapD-cell division protein ZapD"
"Bcen2424_0575","BCEN2424_RS02865","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",646834,647442,"-","WP_011544511.1","WP_011544511.1",NA,"dephospho-CoA kinase","",NA,609,202,"old_locus_tag=Bcen2424_0575","Bcen2424_0575--dephospho-CoA kinase"
"Bcen2424_0576","BCEN2424_RS02870","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",647444,648355,"-","WP_011544512.1","WP_011544512.1",NA,"prepilin peptidase","",NA,912,303,"old_locus_tag=Bcen2424_0576","Bcen2424_0576--prepilin peptidase"
"Bcen2424_0577","BCEN2424_RS02875","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",648400,649611,"-","WP_011544513.1","WP_011544513.1",NA,"type II secretion system F family protein","",NA,1212,403,"old_locus_tag=Bcen2424_0577","Bcen2424_0577--type II secretion system F family protein"
"Bcen2424_0578","BCEN2424_RS02880","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",649608,650882,"-","WP_041489152.1","WP_041489152.1",NA,"Flp pilus assembly complex ATPase component TadA","tadA",NA,1275,424,"old_locus_tag=Bcen2424_0578","Bcen2424_0578-tadA-Flp pilus assembly complex ATPase component TadA"
"Bcen2424_0579","BCEN2424_RS02885","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",650966,652339,"-","WP_011544515.1","WP_011544515.1",NA,"HlyC/CorC family transporter","",NA,1374,457,"old_locus_tag=Bcen2424_0579","Bcen2424_0579--HlyC/CorC family transporter"
"Bcen2424_0580","BCEN2424_RS02895","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",652624,653619,"-","WP_011544516.1","WP_011544516.1",NA,"octaprenyl diphosphate synthase","",NA,996,331,"old_locus_tag=Bcen2424_0580","Bcen2424_0580--octaprenyl diphosphate synthase"
"Bcen2424_0581","BCEN2424_RS02900","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",653830,654141,"+","WP_006025184.1","WP_006025184.1",NA,"50S ribosomal protein L21","rplU",NA,312,103,"old_locus_tag=Bcen2424_0581","Bcen2424_0581-rplU-50S ribosomal protein L21"
"Bcen2424_0582","BCEN2424_RS02905","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",654166,654429,"+","WP_006476999.1","WP_006476999.1",NA,"50S ribosomal protein L27","rpmA",NA,264,87,"old_locus_tag=Bcen2424_0582","Bcen2424_0582-rpmA-50S ribosomal protein L27"
"Bcen2424_0583","BCEN2424_RS02910","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",654616,655728,"+","WP_006476998.1","WP_006476998.1",NA,"GTPase ObgE","obgE",NA,1113,370,"old_locus_tag=Bcen2424_0583","Bcen2424_0583-obgE-GTPase ObgE"
"Bcen2424_0584","BCEN2424_RS02915","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",655818,656936,"+","WP_006476997.1","WP_006476997.1",NA,"glutamate 5-kinase","",NA,1119,372,"old_locus_tag=Bcen2424_0584","Bcen2424_0584--glutamate 5-kinase"
"Bcen2424_0585","BCEN2424_RS02920","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",657031,657639,"-","WP_011544517.1","WP_011544517.1",NA,"hypothetical protein","",NA,609,202,"old_locus_tag=Bcen2424_0585","Bcen2424_0585--hypothetical protein"
"Bcen2424_0586","BCEN2424_RS02925","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",657653,658297,"-","WP_006476994.1","WP_006476994.1",NA,"RNA pyrophosphohydrolase","",NA,645,214,"old_locus_tag=Bcen2424_0586","Bcen2424_0586--RNA pyrophosphohydrolase"
"Bcen2424_0587","BCEN2424_RS02930","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",658526,660262,"+","WP_011694137.1","WP_011694137.1",NA,"proline--tRNA ligase","",NA,1737,578,"old_locus_tag=Bcen2424_0587","Bcen2424_0587--proline--tRNA ligase"
"Bcen2424_0588","BCEN2424_RS02935","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",660284,660886,"+","WP_011694138.1","WP_011694138.1",NA,"MarC family protein","",NA,603,200,"old_locus_tag=Bcen2424_0588","Bcen2424_0588--MarC family protein"
"Bcen2424_0589","BCEN2424_RS02940","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",660969,661520,"-","WP_006489240.1","WP_006489240.1",NA,"hypoxanthine-guanine phosphoribosyltransferase","",NA,552,183,"old_locus_tag=Bcen2424_0589","Bcen2424_0589--hypoxanthine-guanine phosphoribosyltransferase"
"Bcen2424_0590","BCEN2424_RS02945","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",661615,662982,"-","WP_006476982.1","WP_006476982.1",NA,"signal recognition particle protein","ffh",NA,1368,455,"old_locus_tag=Bcen2424_0590","Bcen2424_0590-ffh-signal recognition particle protein"
"Bcen2424_0591","BCEN2424_RS02950","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",663073,663966,"+","WP_011544520.1","WP_011544520.1",NA,"cytochrome c biogenesis protein CcsA","ccsA",NA,894,297,"old_locus_tag=Bcen2424_0591","Bcen2424_0591-ccsA-cytochrome c biogenesis protein CcsA"
"Bcen2424_0592","BCEN2424_RS02955","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",663980,664300,"+","WP_011544521.1","WP_011544521.1",NA,"hypothetical protein","",NA,321,106,"old_locus_tag=Bcen2424_0592","Bcen2424_0592--hypothetical protein"
"Bcen2424_0593","BCEN2424_RS02960","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",664297,664887,"+","WP_011694139.1","WP_011694139.1",NA,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD","ampD",NA,591,196,"old_locus_tag=Bcen2424_0593","Bcen2424_0593-ampD-1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
"Bcen2424_0594","BCEN2424_RS02965","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",665340,668345,"+","WP_011544523.1","WP_011544523.1",NA,"ribonucleoside-diphosphate reductase subunit alpha","",NA,3006,1001,"old_locus_tag=Bcen2424_0594","Bcen2424_0594--ribonucleoside-diphosphate reductase subunit alpha"
"Bcen2424_0596","BCEN2424_RS02970","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",668711,669922,"+","WP_012327871.1","WP_012327871.1",NA,"ribonucleotide-diphosphate reductase subunit beta","",NA,1212,403,"old_locus_tag=Bcen2424_0596","Bcen2424_0596--ribonucleotide-diphosphate reductase subunit beta"
"Bcen2424_0597","BCEN2424_RS34680","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",670005,670331,"+","WP_011544525.1","WP_011544525.1",NA,"hypothetical protein","",NA,327,108,"old_locus_tag=Bcen2424_0597","Bcen2424_0597--hypothetical protein"
"Bcen2424_0598","BCEN2424_RS34685","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",670360,671007,"+","WP_011544526.1","WP_011544526.1",NA,"histone H1-like DNA-binding protein","",NA,648,215,"old_locus_tag=Bcen2424_0598","Bcen2424_0598--histone H1-like DNA-binding protein"
"Bcen2424_0599","BCEN2424_RS02980","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",671235,671708,"-","WP_006476977.1","WP_006476977.1",NA,"glycine zipper 2TM domain-containing protein","",NA,474,157,"old_locus_tag=Bcen2424_0599","Bcen2424_0599--glycine zipper 2TM domain-containing protein"
"Bcen2424_0600","BCEN2424_RS02985","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",671728,672666,"-","WP_006476976.1","WP_006476976.1",NA,"carbohydrate kinase family protein","",NA,939,312,"old_locus_tag=Bcen2424_0600","Bcen2424_0600--carbohydrate kinase family protein"
"Bcen2424_0601","BCEN2424_RS02990","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",672752,673255,"-","WP_006476975.1","WP_006476975.1",NA,"thiol peroxidase","tpx",NA,504,167,"old_locus_tag=Bcen2424_0601","Bcen2424_0601-tpx-thiol peroxidase"
"Bcen2424_0602","BCEN2424_RS02995","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",673327,674727,"-","WP_011544528.1","WP_011544528.1",NA,"DUF3426 domain-containing protein","",NA,1401,466,"old_locus_tag=Bcen2424_0602","Bcen2424_0602--DUF3426 domain-containing protein"
"Bcen2424_0603","BCEN2424_RS03000","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",674773,675675,"-","WP_011544529.1","WP_011544529.1",NA,"50S ribosomal protein L11 methyltransferase","prmA",NA,903,300,"old_locus_tag=Bcen2424_0603","Bcen2424_0603-prmA-50S ribosomal protein L11 methyltransferase"
"Bcen2424_0604","BCEN2424_RS03005","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",675678,677045,"-","WP_011544530.1","WP_011544530.1",NA,"acetyl-CoA carboxylase biotin carboxylase subunit","accC",NA,1368,455,"old_locus_tag=Bcen2424_0604","Bcen2424_0604-accC-acetyl-CoA carboxylase biotin carboxylase subunit"
"Bcen2424_0605","BCEN2424_RS03010","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",677133,677606,"-","WP_006476971.1","WP_006476971.1",NA,"acetyl-CoA carboxylase biotin carboxyl carrier protein","",NA,474,157,"old_locus_tag=Bcen2424_0605","Bcen2424_0605--acetyl-CoA carboxylase biotin carboxyl carrier protein"
"Bcen2424_0606","BCEN2424_RS03015","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",677673,678125,"-","WP_011544531.1","WP_011544531.1",NA,"type II 3-dehydroquinate dehydratase","aroQ",NA,453,150,"old_locus_tag=Bcen2424_0606","Bcen2424_0606-aroQ-type II 3-dehydroquinate dehydratase"
"Bcen2424_0607","BCEN2424_RS03020","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",678320,678868,"-","WP_011544532.1","WP_011544532.1",NA,"TlpA family protein disulfide reductase","",NA,549,182,"old_locus_tag=Bcen2424_0607","Bcen2424_0607--TlpA family protein disulfide reductase"
"Bcen2424_0608","BCEN2424_RS34690","CDS","without_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",678958,679512,"+","","",NA,"transposase","",NA,555,NA,"partial;pseudo;old_locus_tag=Bcen2424_0608","Bcen2424_0608--transposase"
"Bcen2424_0609","BCEN2424_RS03025","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",679514,680158,"-","WP_011544534.1","WP_011544534.1",NA,"hypothetical protein","",NA,645,214,"old_locus_tag=Bcen2424_0609","Bcen2424_0609--hypothetical protein"
"Bcen2424_0610","BCEN2424_RS03030","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",680405,681790,"+","WP_011544535.1","WP_011544535.1",NA,"UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase","mpl",NA,1386,461,"old_locus_tag=Bcen2424_0610","Bcen2424_0610-mpl-UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase"
"Bcen2424_0611","BCEN2424_RS03035","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",681787,682356,"+","WP_011544536.1","WP_011544536.1",NA,"esterase","",NA,570,189,"old_locus_tag=Bcen2424_0611","Bcen2424_0611--esterase"
"Bcen2424_0612","BCEN2424_RS03040","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",682437,684521,"+","WP_011544537.1","WP_011544537.1",NA,"RNB domain-containing ribonuclease","",NA,2085,694,"old_locus_tag=Bcen2424_0612","Bcen2424_0612--RNB domain-containing ribonuclease"
"Bcen2424_0613","BCEN2424_RS03045","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",684518,685384,"+","WP_011544538.1","WP_011544538.1",NA,"shikimate dehydrogenase","aroE",NA,867,288,"old_locus_tag=Bcen2424_0613","Bcen2424_0613-aroE-shikimate dehydrogenase"
"Bcen2424_0614","BCEN2424_RS03050","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",685399,686136,"+","WP_011544539.1","WP_011544539.1",NA,"monofunctional biosynthetic peptidoglycan transglycosylase","mtgA",NA,738,245,"old_locus_tag=Bcen2424_0614","Bcen2424_0614-mtgA-monofunctional biosynthetic peptidoglycan transglycosylase"
"Bcen2424_0615","BCEN2424_RS03055","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",686560,688170,"+","WP_011544540.1","WP_011544540.1",NA,"peptidase S10","",NA,1611,536,"old_locus_tag=Bcen2424_0615","Bcen2424_0615--peptidase S10"
"Bcen2424_0616","BCEN2424_RS03060","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",688250,688651,"+","WP_011544541.1","WP_011544541.1",NA,"EF-hand domain-containing protein","",NA,402,133,"old_locus_tag=Bcen2424_0616","Bcen2424_0616--EF-hand domain-containing protein"
"Bcen2424_0617","BCEN2424_RS03065","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",689001,689900,"+","WP_011694140.1","WP_011694140.1",NA,"IclR family transcriptional regulator","",NA,900,299,"old_locus_tag=Bcen2424_0617","Bcen2424_0617--IclR family transcriptional regulator"
"Bcen2424_0618","BCEN2424_RS03070","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",689897,690922,"+","WP_011544542.1","WP_011544542.1",NA,"2-dehydro-3-deoxygalactonokinase","",NA,1026,341,"old_locus_tag=Bcen2424_0618","Bcen2424_0618--2-dehydro-3-deoxygalactonokinase"
"Bcen2424_0619","BCEN2424_RS03075","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",690945,691622,"+","WP_011544543.1","WP_011544543.1",NA,"2-dehydro-3-deoxy-6-phosphogalactonate aldolase","",NA,678,225,"old_locus_tag=Bcen2424_0619","Bcen2424_0619--2-dehydro-3-deoxy-6-phosphogalactonate aldolase"
"Bcen2424_0620","BCEN2424_RS03080","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",691622,692401,"+","WP_041489153.1","WP_041489153.1",NA,"SDR family oxidoreductase","",NA,780,259,"old_locus_tag=Bcen2424_0620","Bcen2424_0620--SDR family oxidoreductase"
"Bcen2424_0621","BCEN2424_RS03085","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",692513,693508,"+","WP_011544545.1","WP_011544545.1",NA,"arabinose ABC transporter substrate-binding protein","",NA,996,331,"old_locus_tag=Bcen2424_0621","Bcen2424_0621--arabinose ABC transporter substrate-binding protein"
"Bcen2424_0622","BCEN2424_RS03090","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",693576,695087,"+","WP_011544546.1","WP_011544546.1",NA,"L-arabinose ABC transporter ATP-binding protein AraG","",NA,1512,503,"old_locus_tag=Bcen2424_0622","Bcen2424_0622--L-arabinose ABC transporter ATP-binding protein AraG"
"Bcen2424_0623","BCEN2424_RS03095","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",695165,696181,"+","WP_011544547.1","WP_011544547.1",NA,"L-arabinose ABC transporter permease AraH","araH",NA,1017,338,"old_locus_tag=Bcen2424_0623","Bcen2424_0623-araH-L-arabinose ABC transporter permease AraH"
"Bcen2424_0624","BCEN2424_RS03100","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",696210,697025,"+","WP_006476954.1","WP_006476954.1",NA,"SDR family oxidoreductase","",NA,816,271,"old_locus_tag=Bcen2424_0624","Bcen2424_0624--SDR family oxidoreductase"
"Bcen2424_0625","BCEN2424_RS03105","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",697075,698136,"+","WP_011544548.1","WP_011544548.1",NA,"aldose 1-epimerase","",NA,1062,353,"old_locus_tag=Bcen2424_0625","Bcen2424_0625--aldose 1-epimerase"
"Bcen2424_0626","BCEN2424_RS03110","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",698176,699003,"+","WP_011544549.1","WP_011544549.1",NA,"orotidine-5'-phosphate decarboxylase","pyrF",NA,828,275,"old_locus_tag=Bcen2424_0626","Bcen2424_0626-pyrF-orotidine-5'-phosphate decarboxylase"
"Bcen2424_0627","BCEN2424_RS03115","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",699230,700288,"+","WP_011544550.1","WP_011544550.1",NA,"haloacid dehalogenase-like hydrolase","",NA,1059,352,"old_locus_tag=Bcen2424_0627","Bcen2424_0627--haloacid dehalogenase-like hydrolase"
"Bcen2424_0628","BCEN2424_RS03120","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",700327,700827,"-","WP_011544551.1","WP_011544551.1",NA,"CinA family protein","",NA,501,166,"old_locus_tag=Bcen2424_0628","Bcen2424_0628--CinA family protein"
"Bcen2424_0629","BCEN2424_RS03125","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",700873,701409,"-","WP_011544552.1","WP_011544552.1",NA,"phosphatidylglycerophosphatase A","",NA,537,178,"old_locus_tag=Bcen2424_0629","Bcen2424_0629--phosphatidylglycerophosphatase A"
"Bcen2424_0630","BCEN2424_RS03130","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",701399,702397,"-","WP_011544553.1","WP_011544553.1",NA,"thiamine-phosphate kinase","thiL",NA,999,332,"old_locus_tag=Bcen2424_0630","Bcen2424_0630-thiL-thiamine-phosphate kinase"
"Bcen2424_0631","BCEN2424_RS03135","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",702574,704874,"+","WP_023475566.1","WP_023475566.1",NA,"NADP-dependent malic enzyme","",NA,2301,766,"old_locus_tag=Bcen2424_0631","Bcen2424_0631--NADP-dependent malic enzyme"
"Bcen2424_0632","BCEN2424_RS03140","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",705250,705681,"+","WP_006476946.1","WP_006476946.1",NA,"ribonuclease","",NA,432,143,"old_locus_tag=Bcen2424_0632","Bcen2424_0632--ribonuclease"
"Bcen2424_0633","BCEN2424_RS03145","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",705698,706261,"+","WP_006476945.1","WP_006476945.1",NA,"barstar family protein","",NA,564,187,"old_locus_tag=Bcen2424_0633","Bcen2424_0633--barstar family protein"
"Bcen2424_0634","BCEN2424_RS03150","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",706470,707213,"+","WP_011544554.1","WP_011544554.1",NA,"hypothetical protein","",NA,744,247,"old_locus_tag=Bcen2424_0634","Bcen2424_0634--hypothetical protein"
"Bcen2424_0635","BCEN2424_RS03155","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",707527,708294,"-","WP_011544555.1","WP_011544555.1",NA,"16S rRNA (uracil(1498)-N(3))-methyltransferase","",NA,768,255,"old_locus_tag=Bcen2424_0635","Bcen2424_0635--16S rRNA (uracil(1498)-N(3))-methyltransferase"
"Bcen2424_0636","BCEN2424_RS03160","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",708312,708728,"-","WP_011544556.1","WP_011544556.1",NA,"glyoxalase/bleomycin resistance/extradiol dioxygenase family protein","",NA,417,138,"old_locus_tag=Bcen2424_0636","Bcen2424_0636--glyoxalase/bleomycin resistance/extradiol dioxygenase family protein"
"Bcen2424_0637","BCEN2424_RS03165","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",708817,709674,"-","WP_011544557.1","WP_011544557.1",NA,"polyamine aminopropyltransferase","speE",NA,858,285,"old_locus_tag=Bcen2424_0637","Bcen2424_0637-speE-polyamine aminopropyltransferase"
"Bcen2424_0638","BCEN2424_RS03170","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",709890,711962,"+","WP_006485709.1","WP_006485709.1",NA,"transketolase","tkt",NA,2073,690,"old_locus_tag=Bcen2424_0638","Bcen2424_0638-tkt-transketolase"
"Bcen2424_0639","BCEN2424_RS03175","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",712054,713064,"+","WP_006476940.1","WP_006476940.1",NA,"type I glyceraldehyde-3-phosphate dehydrogenase","gap",NA,1011,336,"old_locus_tag=Bcen2424_0639","Bcen2424_0639-gap-type I glyceraldehyde-3-phosphate dehydrogenase"
"Bcen2424_0640","BCEN2424_RS03180","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",713142,714032,"-","WP_011544558.1","WP_011544558.1",NA,"LysR family transcriptional regulator","",NA,891,296,"old_locus_tag=Bcen2424_0640","Bcen2424_0640--LysR family transcriptional regulator"
"Bcen2424_0641","BCEN2424_RS03185","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",714186,714959,"+","WP_011544559.1","WP_011544559.1",NA,"SDR family oxidoreductase","",NA,774,257,"old_locus_tag=Bcen2424_0641","Bcen2424_0641--SDR family oxidoreductase"
