"locusTag"	"RSlocusTag"	"feature"	"class"	"assembly"	"assembly_unit"	"seq_type"	"chromosome"	"genomic_accession"	"start"	"end"	"strand"	"product_accession"	"non.redundant_refseq"	"related_accession"	"name"	"symbol"	"GeneID"	"feature_interval_length"	"product_length"	"attributes"
"Bcen2424_1074"	"BCEN2424_RS05335"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1186805	1187743	"+"	"WP_006476545.1"	"WP_006476545.1"		"CobD/CbiB family protein"	""		939	312	"old_locus_tag=Bcen2424_1074"
"Bcen2424_1075"	"BCEN2424_RS05340"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1187821	1188138	"-"	"WP_011351362.1"	"WP_011351362.1"		"hypothetical protein"	""		318	105	"old_locus_tag=Bcen2424_1075"
"Bcen2424_1076"	"BCEN2424_RS05345"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1188199	1189140	"-"	"WP_011544903.1"	"WP_011544903.1"		"ribosome small subunit-dependent GTPase A"	"rsgA"		942	313	"old_locus_tag=Bcen2424_1076"
"Bcen2424_1077"	"BCEN2424_RS05350"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1189137	1190396	"-"	"WP_011544904.1"	"WP_011544904.1"		"M48 family metallopeptidase"	""		1260	419	"old_locus_tag=Bcen2424_1077"
"Bcen2424_1078"	"BCEN2424_RS05355"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1190523	1191143	"+"	"WP_006476541.1"	"WP_006476541.1"		"oligoribonuclease"	"orn"		621	206	"old_locus_tag=Bcen2424_1078"
"Bcen2424_1079"	"BCEN2424_RS05360"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1191178	1191786	"-"	"WP_011544905.1"	"WP_011544905.1"		"molybdopterin adenylyltransferase"	"mog"		609	202	"old_locus_tag=Bcen2424_1079"
"Bcen2424_1080"	"BCEN2424_RS05365"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1191770	1192381	"-"	"WP_011544906.1"	"WP_011544906.1"		"ribosome-associated protein"	""		612	203	"old_locus_tag=Bcen2424_1080"
"Bcen2424_1081"	"BCEN2424_RS05370"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1192500	1193870	"+"	"WP_006476538.1"	"WP_006476538.1"		"metalloprotease PmbA"	"pmbA"		1371	456	"old_locus_tag=Bcen2424_1081"
"Bcen2424_1082"	"BCEN2424_RS05375"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1193956	1194456	"-"	"WP_011694219.1"	"WP_011694219.1"		"dihydrofolate reductase"	""		501	166	"old_locus_tag=Bcen2424_1082"
"Bcen2424_1083"	"BCEN2424_RS05380"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1194753	1195079	"-"	"WP_011544908.1"	"WP_011544908.1"		"hypothetical protein"	""		327	108	"old_locus_tag=Bcen2424_1083"
"Bcen2424_1084"	"BCEN2424_RS05385"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1195578	1196975	"+"	"WP_011544909.1"	"WP_011544909.1"		"sigma-54-dependent Fis family transcriptional regulator"	""		1398	465	"old_locus_tag=Bcen2424_1084"
"Bcen2424_1085"	"BCEN2424_RS05390"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1197018	1197989	"+"	"WP_006476535.1"	"WP_006476535.1"		"thymidylate synthase"	""		972	323	"old_locus_tag=Bcen2424_1085"
"Bcen2424_1086"	"BCEN2424_RS05395"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1198089	1200644	"-"	"WP_041489624.1"	"WP_041489624.1"		"hypothetical protein"	""		2556	851	"old_locus_tag=Bcen2424_1086"
"Bcen2424_1087"	"BCEN2424_RS05400"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1200807	1201514	"-"	"WP_011544910.1"	"WP_011544910.1"		"helix-turn-helix transcriptional regulator"	""		708	235	"old_locus_tag=Bcen2424_1087"
"BCEN2424_RS36835"	"BCEN2424_RS36835"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1201704	1201844	"+"	"WP_166488149.1"	"WP_166488149.1"		"hypothetical protein"	""		141	46	""
"Bcen2424_1089"	"BCEN2424_RS05405"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1201975	1202487	"+"	"WP_011544912.1"	"WP_011544912.1"		"acyl-CoA thioesterase"	""		513	170	"old_locus_tag=Bcen2424_1089"
"Bcen2424_1090"	"BCEN2424_RS05410"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1202534	1203928	"-"	"WP_011544913.1"	"WP_011544913.1"		"class II fumarate hydratase"	"fumC"		1395	464	"old_locus_tag=Bcen2424_1090"
"Bcen2424_1091"	"BCEN2424_RS05415"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1204123	1205511	"-"	"WP_011544914.1"	"WP_011544914.1"		"MATE family efflux transporter"	""		1389	462	"old_locus_tag=Bcen2424_1091"
"Bcen2424_1092"	"BCEN2424_RS05420"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1205650	1205868	"-"	"WP_006486208.1"	"WP_006486208.1"		"RNA-binding S4 domain-containing protein"	""		219	72	"old_locus_tag=Bcen2424_1092"
"Bcen2424_1093"	"BCEN2424_RS05425"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1206136	1206537	"+"	"WP_011544915.1"	"WP_011544915.1"		"hypothetical protein"	""		402	133	"old_locus_tag=Bcen2424_1093"
"Bcen2424_1094"	"BCEN2424_RS05430"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1206669	1207451	"-"	"WP_006476530.1"	"WP_006476530.1"		"DUF4088 family protein"	""		783	260	"old_locus_tag=Bcen2424_1094"
"Bcen2424_1095"	"BCEN2424_RS05435"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1207612	1207950	"-"	"WP_006476529.1"	"WP_006476529.1"		"branched-chain amino acid transporter"	""		339	112	"old_locus_tag=Bcen2424_1095"
"Bcen2424_1096"	"BCEN2424_RS05440"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1207947	1208714	"-"	"WP_011694222.1"	"WP_011694222.1"		"AzlC family ABC transporter permease"	""		768	255	"old_locus_tag=Bcen2424_1096"
"Bcen2424_1097"	"BCEN2424_RS05445"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1208842	1209762	"-"	"WP_011544917.1"	"WP_011544917.1"		"AraC family transcriptional regulator"	""		921	306	"old_locus_tag=Bcen2424_1097"
"Bcen2424_1098"	"BCEN2424_RS05450"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1209822	1210307	"-"	"WP_011544918.1"	"WP_011544918.1"		"CreA family protein"	""		486	161	"old_locus_tag=Bcen2424_1098"
"BCEN2424_RS05455"	"BCEN2424_RS05455"	"tRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1210435	1210510	"-"	""	""		"tRNA-Asn"	""		76		"anticodon=GTT; old_locus_tag=Bcen2424_R0031"
"BCEN2424_RS05460"	"BCEN2424_RS05460"	"tRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1210583	1210658	"-"	""	""		"tRNA-Asn"	""		76		"anticodon=GTT; old_locus_tag=Bcen2424_R0032"
"Bcen2424_1099"	"BCEN2424_RS05465"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1210761	1211084	"-"	"WP_011544919.1"	"WP_011544919.1"		"ferredoxin family protein"	""		324	107	"old_locus_tag=Bcen2424_1099"
"Bcen2424_1100"	"BCEN2424_RS05470"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1211375	1212574	"+"	"WP_011544920.1"	"WP_011544920.1"		"nicotinate phosphoribosyltransferase"	"pncB"		1200	399	"old_locus_tag=Bcen2424_1100"
"Bcen2424_1101"	"BCEN2424_RS05475"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1212662	1213324	"+"	"WP_011544921.1"	"WP_011544921.1"		"lactate utilization protein C"	""		663	220	"old_locus_tag=Bcen2424_1101"
"Bcen2424_1102"	"BCEN2424_RS05480"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1213367	1214797	"+"	"WP_011544922.1"	"WP_011544922.1"		"sodium:proton antiporter"	""		1431	476	"old_locus_tag=Bcen2424_1102"
"Bcen2424_1103"	"BCEN2424_RS05485"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1214879	1215868	"+"	"WP_011544923.1"	"WP_011544923.1"		"D-glycerate dehydrogenase"	""		990	329	"old_locus_tag=Bcen2424_1103"
"Bcen2424_1104"	"BCEN2424_RS05490"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1215865	1217340	"+"	"WP_011544924.1"	"WP_011544924.1"		"DNA recombination protein RmuC"	"rmuC"		1476	491	"old_locus_tag=Bcen2424_1104"
"Bcen2424_1105"	"BCEN2424_RS05495"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1217431	1217916	"-"	"WP_011544925.1"	"WP_011544925.1"		"GNAT family N-acetyltransferase"	""		486	161	"old_locus_tag=Bcen2424_1105"
"Bcen2424_1106"	"BCEN2424_RS05500"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1217913	1218188	"-"	"WP_006476519.1"	"WP_006476519.1"		"hypothetical protein"	""		276	91	"old_locus_tag=Bcen2424_1106"
"Bcen2424_1107"	"BCEN2424_RS05505"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1218226	1219524	"-"	"WP_011694223.1"	"WP_011694223.1"		"molybdopterin molybdotransferase MoeA"	""		1299	432	"old_locus_tag=Bcen2424_1107"
"Bcen2424_1108"	"BCEN2424_RS05510"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1219636	1220253	"-"	"WP_011544927.1"	"WP_011544927.1"		"molybdenum cofactor guanylyltransferase MobA"	"mobA"		618	205	"old_locus_tag=Bcen2424_1108"
"Bcen2424_1109"	"BCEN2424_RS05515"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1220283	1221395	"-"	"WP_011544928.1"	"WP_011544928.1"		"GTP 3',8-cyclase MoaA"	"moaA"		1113	370	"old_locus_tag=Bcen2424_1109"
"Bcen2424_1110"	"BCEN2424_RS05520"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1221527	1224706	"-"	"WP_011544929.1"	"WP_011544929.1"		"Rne/Rng family ribonuclease"	""		3180	1059	"old_locus_tag=Bcen2424_1110"
"Bcen2424_1112"	"BCEN2424_RS05525"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1225427	1226431	"+"	"WP_011544930.1"	"WP_011544930.1"		"RluA family pseudouridine synthase"	""		1005	334	"old_locus_tag=Bcen2424_1112"
"Bcen2424_1113"	"BCEN2424_RS05530"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1226437	1227096	"+"	"WP_006493743.1"	"WP_006493743.1"		"HAD-IA family hydrolase"	""		660	219	"old_locus_tag=Bcen2424_1113"
"Bcen2424_1114"	"BCEN2424_RS05535"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1227093	1227494	"+"	"WP_011544931.1"	"WP_011544931.1"		"Rieske 2Fe-2S domain-containing protein"	""		402	133	"old_locus_tag=Bcen2424_1114"
"Bcen2424_1115"	"BCEN2424_RS05540"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1227507	1228499	"+"	"WP_006476511.1"	"WP_006476511.1"		"S49 family peptidase"	""		993	330	"old_locus_tag=Bcen2424_1115"
"Bcen2424_1116"	"BCEN2424_RS05545"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1228586	1229308	"-"	"WP_011544932.1"	"WP_011544932.1"		"SAM-dependent methyltransferase"	""		723	240	"old_locus_tag=Bcen2424_1116"
"Bcen2424_1117"	"BCEN2424_RS05550"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1229305	1229937	"-"	"WP_011544933.1"	"WP_011544933.1"		"septum formation protein Maf"	"maf"		633	210	"old_locus_tag=Bcen2424_1117"
"Bcen2424_1118"	"BCEN2424_RS05555"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1230168	1230803	"+"	"WP_011694224.1"	"WP_011694224.1"		"DUF177 domain-containing protein"	""		636	211	"old_locus_tag=Bcen2424_1118"
"Bcen2424_1119"	"BCEN2424_RS05560"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1230902	1231081	"+"	"WP_006051932.1"	"WP_006051932.1"		"50S ribosomal protein L32"	"rpmF"		180	59	"old_locus_tag=Bcen2424_1119"
"Bcen2424_1120"	"BCEN2424_RS05565"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1231211	1232317	"+"	"WP_006476507.1"	"WP_006476507.1"		"phosphate acyltransferase PlsX"	"plsX"		1107	368	"old_locus_tag=Bcen2424_1120"
"Bcen2424_1121"	"BCEN2424_RS05570"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1232318	1233307	"+"	"WP_006476506.1"	"WP_006476506.1"		"ketoacyl-ACP synthase III"	""		990	329	"old_locus_tag=Bcen2424_1121"
"Bcen2424_1122"	"BCEN2424_RS05575"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1233390	1234322	"+"	"WP_011694225.1"	"WP_011694225.1"		"ACP S-malonyltransferase"	"fabD"		933	310	"old_locus_tag=Bcen2424_1122"
"Bcen2424_1123"	"BCEN2424_RS05580"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1234359	1235108	"+"	"WP_006476504.1"	"WP_006476504.1"		"3-oxoacyl-ACP reductase FabG"	"fabG"		750	249	"old_locus_tag=Bcen2424_1123"
"Bcen2424_1124"	"BCEN2424_RS05585"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1235253	1235492	"+"	"WP_004197638.1"	"WP_004197638.1"		"acyl carrier protein"	"acpP"		240	79	"old_locus_tag=Bcen2424_1124"
"Bcen2424_1125"	"BCEN2424_RS05590"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1235657	1236889	"+"	"WP_011544937.1"	"WP_011544937.1"		"beta-ketoacyl-ACP synthase II"	"fabF"		1233	410	"old_locus_tag=Bcen2424_1125"
"Bcen2424_1126"	"BCEN2424_RS05595"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1236901	1237365	"+"	"WP_011694226.1"	"WP_011694226.1"		"hypothetical protein"	""		465	154	"old_locus_tag=Bcen2424_1126"
"Bcen2424_1127"	"BCEN2424_RS05600"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1237457	1238056	"+"	"WP_006490873.1"	"WP_006490873.1"		"RNA polymerase sigma factor RpoE"	"rpoE"		600	199	"old_locus_tag=Bcen2424_1127"
"Bcen2424_1128"	"BCEN2424_RS05605"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1238143	1238760	"+"	"WP_011544939.1"	"WP_011544939.1"		"sigma-E factor negative regulatory protein"	""		618	205	"old_locus_tag=Bcen2424_1128"
"Bcen2424_1129"	"BCEN2424_RS05610"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1238766	1239818	"+"	"WP_011544940.1"	"WP_011544940.1"		"sugar dehydratase"	""		1053	350	"old_locus_tag=Bcen2424_1129"
"Bcen2424_1130"	"BCEN2424_RS05615"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1239835	1241331	"+"	"WP_006476498.1"	"WP_006476498.1"		"DegQ family serine endoprotease"	""		1497	498	"old_locus_tag=Bcen2424_1130"
"Bcen2424_1131"	"BCEN2424_RS05620"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1241339	1241575	"+"	"WP_011544941.1"	"WP_011544941.1"		"glutaredoxin family protein"	""		237	78	"old_locus_tag=Bcen2424_1131"
"Bcen2424_1132"	"BCEN2424_RS05625"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1241771	1243564	"+"	"WP_011544942.1"	"WP_011544942.1"		"elongation factor 4"	"lepA"		1794	597	"old_locus_tag=Bcen2424_1132"
"Bcen2424_1133"	"BCEN2424_RS05630"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1243581	1244474	"+"	"WP_011544943.1"	"WP_011544943.1"		"signal peptidase I"	"lepB"		894	297	"old_locus_tag=Bcen2424_1133"
"Bcen2424_1134"	"BCEN2424_RS05635"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1244629	1245858	"+"	"WP_011544944.1"	"WP_011544944.1"		"ribonuclease III"	""		1230	409	"old_locus_tag=Bcen2424_1134"
"Bcen2424_1135"	"BCEN2424_RS05640"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1245919	1246818	"+"	"WP_006476493.1"	"WP_006476493.1"		"GTPase Era"	""		900	299	"old_locus_tag=Bcen2424_1135"
"Bcen2424_1136"	"BCEN2424_RS05645"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1246805	1247641	"+"	"WP_006476492.1"	"WP_006476492.1"		"DNA repair protein RecO"	"recO"		837	278	"old_locus_tag=Bcen2424_1136"
"Bcen2424_1137"	"BCEN2424_RS05650"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1247638	1248414	"+"	"WP_011544945.1"	"WP_011544945.1"		"pyridoxine 5'-phosphate synthase"	"pdxJ"		777	258	"old_locus_tag=Bcen2424_1137"
"Bcen2424_1138"	"BCEN2424_RS05655"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1248496	1248942	"+"	"WP_011544946.1"	"WP_011544946.1"		"holo-ACP synthase"	""		447	148	"old_locus_tag=Bcen2424_1138"
"Bcen2424_1139"	"BCEN2424_RS05660"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1248959	1249987	"+"	"WP_011544947.1"	"WP_011544947.1"		"beta-N-acetylhexosaminidase"	"nagZ"		1029	342	"old_locus_tag=Bcen2424_1139"
"Bcen2424_1140"	"BCEN2424_RS05665"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1250165	1251550	"-"	"WP_011694227.1"	"WP_011694227.1"		"sigma-54-dependent Fis family transcriptional regulator"	""		1386	461	"old_locus_tag=Bcen2424_1140"
"Bcen2424_1141"	"BCEN2424_RS05670"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1251818	1252375	"-"	"WP_006476487.1"	"WP_006476487.1"		"elongation factor P"	"efp"		558	185	"old_locus_tag=Bcen2424_1141"
"Bcen2424_1142"	"BCEN2424_RS05675"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1252514	1253707	"-"	"WP_011694228.1"	"WP_011694228.1"		"elongation factor P maturation arginine rhamnosyltransferase EarP"	"earP"		1194	397	"old_locus_tag=Bcen2424_1142"
"Bcen2424_1143"	"BCEN2424_RS05680"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1253784	1255829	"+"	"WP_011544950.1"	"WP_011544950.1"		"excinuclease ABC subunit UvrC"	"uvrC"		2046	681	"old_locus_tag=Bcen2424_1143"
"Bcen2424_1144"	"BCEN2424_RS05685"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1255919	1256506	"+"	"WP_011544951.1"	"WP_011544951.1"		"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	"pgsA"		588	195	"old_locus_tag=Bcen2424_1144"
"BCEN2424_RS05690"	"BCEN2424_RS05690"	"tRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1256651	1256726	"+"	""	""		"tRNA-Gly"	""		76		"anticodon=GCC; old_locus_tag=Bcen2424_R0033"
"BCEN2424_RS05695"	"BCEN2424_RS05695"	"tRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1256780	1256855	"+"	""	""		"tRNA-Gly"	""		76		"anticodon=GCC; old_locus_tag=Bcen2424_R0034"
"BCEN2424_RS05700"	"BCEN2424_RS05700"	"tRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1256907	1256982	"+"	""	""		"tRNA-Gly"	""		76		"anticodon=GCC; old_locus_tag=Bcen2424_R0035"
"BCEN2424_RS05705"	"BCEN2424_RS05705"	"tRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1257082	1257155	"+"	""	""		"tRNA-Cys"	""		74		"anticodon=GCA; old_locus_tag=Bcen2424_R0036"
"BCEN2424_RS34845"	"BCEN2424_RS34845"	"CDS"	"without_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1257733	1257942	"+"	""	""		"diguanylate cyclase"	""		210		"partial;pseudo"
"Bcen2424_1145"	"BCEN2424_RS05710"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1258109	1259041	"+"	"WP_011544953.1"	"WP_011544953.1"		"alpha/beta hydrolase"	""		933	310	"old_locus_tag=Bcen2424_1145"
"Bcen2424_1146"	"BCEN2424_RS05715"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1259139	1259687	"-"	"WP_011544954.1"	"WP_011544954.1"		"N-acetyltransferase"	""		549	182	"old_locus_tag=Bcen2424_1146"
"Bcen2424_1147"	"BCEN2424_RS05720"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1259738	1260358	"-"	"WP_011544955.1"	"WP_011544955.1"		"helix-turn-helix transcriptional regulator"	""		621	206	"old_locus_tag=Bcen2424_1147"
"Bcen2424_1148"	"BCEN2424_RS05725"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1260506	1260742	"+"	"WP_011694229.1"	"WP_011694229.1"		"ParD-like family protein"	""		237	78	"old_locus_tag=Bcen2424_1148"
"Bcen2424_1149"	"BCEN2424_RS05730"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1260742	1261548	"+"	"WP_011544957.1"	"WP_011544957.1"		"type I methionyl aminopeptidase"	"map"		807	268	"old_locus_tag=Bcen2424_1149"
"Bcen2424_1150"	"BCEN2424_RS05735"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1261661	1262164	"-"	"WP_011544958.1"	"WP_011544958.1"		"GAF domain-containing protein"	""		504	167	"old_locus_tag=Bcen2424_1150"
"Bcen2424_1151"	"BCEN2424_RS05740"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1262279	1263196	"-"	"WP_011544959.1"	"WP_011544959.1"		"LysR family transcriptional regulator"	""		918	305	"old_locus_tag=Bcen2424_1151"
"Bcen2424_1152"	"BCEN2424_RS05745"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1263308	1264174	"+"	"WP_011544960.1"	"WP_011544960.1"		"pirin family protein"	""		867	288	"old_locus_tag=Bcen2424_1152"
"Bcen2424_1153"	"BCEN2424_RS05750"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1264325	1264816	"+"	"WP_011544961.1"	"WP_011544961.1"		"GNAT family N-acetyltransferase"	""		492	163	"old_locus_tag=Bcen2424_1153"
"Bcen2424_1154"	"BCEN2424_RS05755"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1264839	1265708	"-"	"WP_011544962.1"	"WP_011544962.1"		"cytochrome c oxidase assembly protein"	""		870	289	"old_locus_tag=Bcen2424_1154"
"Bcen2424_1155"	"BCEN2424_RS05760"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1265719	1266165	"-"	"WP_011544963.1"	"WP_011544963.1"		"copper chaperone PCu(A)C"	""		447	148	"old_locus_tag=Bcen2424_1155"
